title,genres,original_language,popularity,production_companies,release_date,budget,revenue,runtime,status,vote_average,vote_count,credits
La Femme Nikita,Action,fr,25.137,Gaumont-Cecchi Gori Group Tiger Cinematografica-Les Films du Loup,1990-02-21,8538703.0,5000000.0,117.0,Released,7.1,1645.0,Anne Parillaud
Case 39,Horror,en,25.1,Paramount Vantage-Anonymous Content-Misher Films-Case 39 Productions,2009-08-13,27000000.0,29000000.0,109.0,Released,6.282,1999.0,Renée Zellweger
Samson and Delilah,Drama,en,25.094,Paramount,1949-12-21,3000000.0,11500000.0,134.0,Released,6.5,162.0,Hedy Lamarr
Cats & Dogs,Family,en,25.094,Village Roadshow Pictures-NPV Entertainment-Mad Chance-Zide-Perry Productions-BenderSpink-Warner Bros. Pictures,2001-07-04,60000000.0,93375151.0,87.0,Released,5.4,1429.0,Jeff Goldblum
Cool World,Animation,en,25.058,Paramount-Bakshi Animation,1992-07-10,30000000.0,14110589.0,102.0,Released,5.555,630.0,Kim Basinger
Pandorum,Action,en,25.05,Constantin Film-Impact Pictures-Studio Babelsberg-Summit Entertainment-Overture Films,2009-09-08,33000000.0,20648328.0,108.0,Released,6.5,2019.0,Ben Foster
The Other Woman,Comedy,en,25.043,LBI Productions-20th Century Fox-TSG Entertainment,2014-04-16,40000000.0,196781193.0,109.0,Released,6.4,3256.0,Cameron Diaz
Mortal Kombat: Annihilation,Action,en,25.036,New Line Cinema-Threshold Entertainment,1997-11-11,30000000.0,51376861.0,95.0,Released,4.486,986.0,Robin Shou
Stargate,Action,en,25.029,Canal+-Carolco Pictures-Centropolis Entertainment,1994-10-28,55000000.0,196567262.0,121.0,Released,7.0,2870.0,Kurt Russell
Ghost Ship,Horror,en,25.011,Village Roadshow Pictures-NPV Entertainment-Warner Bros. Pictures-Dark Castle Entertainment-Ghost Ship Films Pty. Ltd.,2002-10-25,35000000.0,68349884.0,91.0,Released,5.921,2044.0,Gabriel Byrne
Monster-in-Law,Romance,en,25.007,Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 1 KG-New Line Cinema-BenderSpink-Spring Creek Pictures,2005-05-13,43000000.0,154749918.0,101.0,Released,6.197,1558.0,Jennifer Lopez
Bodies Bodies Bodies,Comedy,en,25.002,A24-2AM,2022-08-05,3000000.0,13900000.0,94.0,Released,6.4,846.0,Amandla Stenberg
The Deep End of the Ocean,Drama,en,24.986,Mandalay Entertainment-Columbia Pictures-Via Rosa Productions,1999-03-12,38000000.0,28121100.0,106.0,Released,6.5,408.0,Michelle Pfeiffer
Tad the Lost Explorer and the Secret of King Midas,Animation,es,24.971,4 Cats Pictures-Lightbox Animation Studios-Ikiru Films-Lightbox Entertainment-Mogambo Films-Telefónica Studios-Tadeo Jones y el Secreto de Midas A.I.E.-Telecinco Cinema-Paramount-ICAA,2017-03-25,10778400.0,34156960.0,85.0,Released,6.6,340.0,Óscar Barberán
Demolition Man,Crime,en,24.969,Silver Pictures-Warner Bros. Pictures,1993-10-08,57000000.0,58055768.0,115.0,Released,6.666,3142.0,Sylvester Stallone
The House of the Spirits,Romance,en,24.962,Costa do Castelo Filmes-House of Spirits Film-Constantin Film-Spring Creek Productions,1993-10-21,25000000.0,6265311.0,140.0,Released,6.9,636.0,Meryl Streep
Austin Powers: International Man of Mystery,Science Fiction,en,24.962,New Line Cinema-Capella International-Eric's Boy,1997-05-02,16500000.0,67711748.0,94.0,Released,6.537,2916.0,Mike Myers
Tomorrow Never Dies,Adventure,en,24.957,Eon Productions-United Artists-Danjaq,1997-12-11,110000000.0,333011068.0,119.0,Released,6.3,2673.0,Pierce Brosnan
Rain Man,Drama,en,24.954,United Artists-Star Partners II Ltd.,1988-12-11,25000000.0,354825435.0,134.0,Released,7.759,5501.0,Dustin Hoffman
Body Snatchers,Horror,en,24.951,Warner Bros. Pictures-Dorset Productions-Robert H. Solo Productions,1993-06-09,13000000.0,428868.0,87.0,Released,6.1,320.0,Terry Kinney
The Curse of Frankenstein,Horror,en,24.949,Hammer Film Productions,1957-05-20,270000.0,8000000.0,83.0,Released,6.7,283.0,Peter Cushing
Layer Cake,Drama,en,24.943,Marv Films,2004-09-30,6500000.0,11850214.0,105.0,Released,6.925,1863.0,Daniel Craig
Attraction,Drama,ru,24.931,Art Pictures Studio-Vodorod 2011,2017-01-26,5027266.0,19454845.0,117.0,Released,6.647,655.0,Irina Starshenbaum
Land of the Lost,Adventure,en,24.928,Universal Pictures-Relativity Media-Sid & Marty Krofft Pictures-Mosaic Media Group,2009-06-05,100000000.0,68688831.0,102.0,Released,5.4,1144.0,Will Ferrell
Changeling,Crime,en,24.927,Universal Pictures-Imagine Entertainment-Relativity Media-Malpaso Productions,2008-10-24,55000000.0,113398237.0,141.0,Released,7.599,3949.0,Angelina Jolie
Eraser,Action,en,24.919,Kopelson Entertainment-Warner Bros. Pictures,1996-06-21,100000000.0,242295562.0,115.0,Released,6.0,1551.0,Arnold Schwarzenegger
Sleepers,Crime,en,24.897,Propaganda Films-Baltimore Pictures-Warner Bros. Pictures,1996-10-18,44000000.0,165615285.0,147.0,Released,7.597,3057.0,Kevin Bacon
We Are the Nobles,Comedy,es,24.885,Alazraki Films,2013-03-28,2000000.0,26433651.0,108.0,Released,7.9,436.0,Gonzalo Vega
Hitch,Comedy,en,24.876,Columbia Pictures-Sony Pictures-Overbrook Entertainment,2005-02-11,70000000.0,368100420.0,118.0,Released,6.5,5124.0,Will Smith
Twin Dragons,Comedy,cn,24.875,Paragon Films Ltd.-Golden Way Films Ltd.-Hong Kong Film Directors Guild,1992-01-15,10000000.0,8332431.0,104.0,Released,6.6,287.0,Jackie Chan
Fallen,Crime,en,24.874,Warner Bros. Pictures,1998-01-16,46000000.0,25232289.0,124.0,Released,6.752,1175.0,Denzel Washington
The Family Stone,Comedy,en,24.863,Major Studio Partners-Fox 2000 Pictures-Michael London Productions-Pan Productions-The Family Stone,2005-12-15,19000000.0,92884429.0,103.0,Released,6.3,810.0,Dermot Mulroney
Battle Royale,Drama,ja,24.861,Toei Company-WOWOW-AM Associates-Kobi-Nippan Group Holdings-MF Pictures-GAGA Communications,2000-12-16,4500000.0,30600000.0,114.0,Released,7.3,2906.0,Tatsuya Fujiwara
42,Drama,en,24.855,Warner Bros. Pictures-Legendary Pictures,2013-04-12,40000000.0,95020213.0,128.0,Released,7.1,1575.0,Chadwick Boseman
[REC]⁴ Apocalypse,Thriller,es,24.851,Filmax-Castelao Productions-Rec Apocalypse AIE-ICAA-Canal+ España,2014-10-31,3000000.0,4915757.0,95.0,Released,5.6,988.0,Manuela Velasco
La Abuela (The Grandmother),Drama,es,24.843,Atresmedia-Les films du Worso-Canal+-Ciné+-Apaches Entertainment,2022-01-28,3749231.0,1817696.0,101.0,Released,5.935,387.0,Almudena Amor
Operation Red Sea,Action,zh,24.837,Bona Film Group-ZAK Film Productions-The P.L.A Navy Government TV Art Central of China-Star Dream Studio Media-Emperor Film Production-Film Fireworks Production,2018-02-16,70000000.0,579220560.0,139.0,Released,7.1,209.0,Zhang Yi
Iron Sky,Action,en,24.821,Blind Spot Pictures-27 Films Production-New Holland Pictures,2012-03-10,7500000.0,10109659.0,93.0,Released,5.689,1358.0,Julia Dietze
Friday the 13th Part 2,Horror,en,24.819,Paramount-Georgetown Productions Inc.,1981-05-01,1250000.0,21722776.0,86.0,Released,6.153,1403.0,Amy Steel
El Dorado,Western,en,24.813,Paramount-Laurel Productions,1966-12-17,4653000.0,6000000.0,126.0,Released,7.413,430.0,John Wayne
Dirty Dancing,Drama,en,24.812,Great American Films Limited Partnership-Vestron Pictures,1987-08-21,6000000.0,214577242.0,100.0,Released,7.3,5376.0,Jennifer Grey
War Horse,War,en,24.804,DreamWorks Pictures-Reliance Entertainment-Amblin Entertainment-The Kennedy/Marshall Company-Touchstone Pictures,2011-12-25,66000000.0,177584879.0,146.0,Released,7.3,3312.0,Jeremy Irvine
Pokémon 3: The Movie,Adventure,ja,24.773,TV Tokyo-OLM-Nintendo-Pikachu Project-Pikachu Project 2001-Shoakuken,2000-07-08,16000000.0,68411275.0,74.0,Released,6.5,539.0,Rica Matsumoto
Exorcist II: The Heretic,Drama,en,24.77,Warner Bros. Pictures,1977-06-17,14000000.0,30800000.0,117.0,Released,4.5,683.0,Richard Burton
Ride Along,Action,en,24.768,Rainforest Entertainment-Universal Pictures-Relativity Media-Cube Vision,2014-01-07,25000000.0,153997819.0,99.0,Released,6.2,2014.0,Ice Cube
Hoosiers,Drama,en,24.762,Orion Pictures-De Haven Productions,1986-11-14,9000000.0,28600000.0,114.0,Released,7.1,476.0,Gene Hackman
Gran Torino,Drama,en,24.743,Matten Productions-Double Nickel Entertainment-Gerber Pictures-Malpaso Productions-Village Roadshow Pictures-WV Films IV-Warner Bros. Pictures,2008-12-09,33000000.0,269958228.0,116.0,Released,8.001,9600.0,Clint Eastwood
The Brothers Grimm,Adventure,en,24.743,Summit Entertainment-Atlas Entertainment-Mosaic Media Group-Dimension Films-Metro-Goldwyn-Mayer-Daniel Bobker Productions,2005-08-26,88000000.0,105300000.0,118.0,Released,5.8,2595.0,Matt Damon
Beowulf,Adventure,en,24.74,Paramount-Shangri-La Entertainment-ImageMovers,2007-11-05,70000000.0,195735876.0,115.0,Released,5.868,2487.0,Ray Winstone
Kung Fu Jungle,Action,cn,24.734,Heart & Soul Production-Beijing Silver Moon Productions-JCE Movies,2014-10-31,25000000.0,129115.0,100.0,Released,6.7,356.0,Donnie Yen
The Young Messiah,Drama,en,24.732,Focus Features,2016-03-10,18500000.0,6490401.0,120.0,Released,6.4,105.0,Adam Greaves
"Crouching Tiger, Hidden Dragon",Adventure,zh,24.73,Columbia Pictures-Sony Pictures Classics-China Film Co-Production Corporation-Columbia Pictures Film Production Asia-EDKO Films-Good Machine-Asia Union Film & Entertainment Ltd.-United China Vision-Zoom Hunt International Productions Company Ltd.,2000-07-06,17000000.0,213525736.0,120.0,Released,7.4,2744.0,Chow Yun
Cellular,Action,en,24.73,Electric Entertainment,2004-09-06,25000000.0,56422687.0,94.0,Released,6.4,1650.0,Chris Evans
Hannah Montana: The Movie,Comedy,en,24.726,It's a Laugh Productions-Millar Gough Ink-Walt Disney Pictures,2009-04-10,35000000.0,155500000.0,102.0,Released,6.594,1973.0,Miley Cyrus
Meet the Fockers,Comedy,en,24.72,Universal Pictures-DreamWorks Pictures-Tribeca Productions-Everyman Pictures-Nancy Tenenbaum Films,2004-12-22,80000000.0,516642939.0,115.0,Released,6.245,4633.0,Ben Stiller
Big Daddy,Comedy,en,24.717,Columbia Pictures,1999-06-25,34200000.0,234801895.0,93.0,Released,6.5,2866.0,Adam Sandler
Pandora,Thriller,ko,24.716,Next Entertainment World-CAC Entertainment,2016-12-07,13938145.0,30169000.0,136.0,Released,7.504,353.0,Kim Nam
1408,Horror,en,24.716,Metro-Goldwyn-Mayer-The Weinstein Company-Di Bonaventura Pictures-Dimension Films,2007-06-22,25000000.0,132963417.0,104.0,Released,6.7,3733.0,John Cusack
Pitch Perfect 3,Comedy,en,24.708,Universal Pictures-Perfect World Pictures-Gold Circle Films,2017-12-20,45000000.0,184724494.0,93.0,Released,6.563,3024.0,Anna Kendrick
Champions,Drama,es,24.692,TVE-Morena Films-Películas Pendelton-Movistar+-Realizaciones Sol S.A.,2018-04-06,4920975.0,20121318.0,124.0,Released,7.6,655.0,Javier Gutiérrez
Bedtime Stories,Fantasy,en,24.69,Walt Disney Pictures-Gunn Films-Happy Madison Productions,2008-12-24,80000000.0,212874864.0,99.0,Released,6.1,2530.0,Adam Sandler
Frankenweenie,Animation,en,24.687,Tim Burton Productions,2012-10-04,39000000.0,81493846.0,87.0,Released,6.9,2880.0,Charlie Tahan
Sinkhole,Comedy,ko,24.681,Showbox-The Tower Pictures,2021-08-11,11400000.0,17970000.0,113.0,Released,7.2,95.0,Cha Seung
Capernaum,Drama,ar,24.679,Boo Pictures-Mooz Films-Cedrus Invest Bank-Clandestino Filmes-DFI-KNM Films-Les Films des Tournelles-Louverture Films-Open City Films-Sunnyland Film-The Bridge Production,2018-09-20,4000000.0,64978931.0,126.0,Released,8.171,1421.0,Zain Al Rafeea
Eye for an Eye,Thriller,en,24.645,Paramount,1996-01-12,20000000.0,26877589.0,101.0,Released,6.1,304.0,Sally Field
The Drop,Drama,en,24.644,Fox Searchlight Pictures-Ingenious Media-Chernin Entertainment-TSG Entertainment,2014-09-12,12600000.0,19054534.0,106.0,Released,6.763,1913.0,Tom Hardy
The Informer,Drama,en,24.642,Thunder Road-The Fyzz-Maddem Films,2019-08-30,60000000.0,2927708.0,109.0,Released,6.5,832.0,Joel Kinnaman
Unleashed,Action,en,24.639,Canal+-Rogue Pictures-TF1 Films Production-Current Entertainment-Clubdeal-EuropaCorp-Danny the Dog Productions-Qian Yian International,2005-02-02,45000000.0,50871113.0,103.0,Released,6.888,1686.0,Jet Li
The Rugrats Movie,Family,en,24.637,Klasky-Csupo-Nickelodeon Movies-Paramount,1998-11-20,30000000.0,100491683.0,79.0,Released,6.2,493.0,Whoopi Goldberg
The Life Aquatic with Steve Zissou,Adventure,en,24.636,American Empirical Pictures-Touchstone Pictures-Scott Rudin Productions,2004-12-10,50000000.0,34808403.0,119.0,Released,7.1,2668.0,Bill Murray
The Mountain Between Us,Romance,en,24.624,20th Century Fox-Fox 2000 Pictures-Chernin Entertainment,2017-10-05,35000000.0,62832209.0,109.0,Released,6.6,2111.0,Idris Elba
The Hunt for Red October,Action,en,24.621,Paramount-Mace Neufeld Productions-Nina Saxon Film Design,1990-03-02,30000000.0,200512643.0,135.0,Released,7.4,2803.0,Sean Connery
Y Tu Mamá También,Drama,es,24.621,Bésame Mucho Pictures-Producciones Anhelo-Good Machine,2001-06-08,5000000.0,33616692.0,106.0,Released,7.4,1294.0,Gael García Bernal
The Sting,Comedy,en,24.616,Universal Pictures-Zanuck/Brown Productions,1973-12-25,5500000.0,159616327.0,129.0,Released,8.02,2192.0,Paul Newman
The Boxtrolls,Animation,en,24.608,Laika Entertainment,2014-09-10,60000000.0,108255770.0,97.0,Released,6.655,1489.0,Ben Kingsley
Strangers on a Train,Crime,en,24.571,Warner Bros. Pictures,1951-06-27,1200000.0,7000000.0,101.0,Released,7.7,1635.0,Farley Granger
P.S. I Love You,Drama,en,24.547,Wendy Finerman Productions-Alcon Entertainment-Warner Bros. Pictures-Grosvenor Park Films LLP,2007-11-15,30000000.0,156835339.0,126.0,Released,7.186,3034.0,Hilary Swank
A Cure for Wellness,Horror,en,24.538,20th Century Fox-Studio Babelsberg-Regency Enterprises-New Regency Pictures-TSG Entertainment-Blind Wink Productions,2017-02-15,40000000.0,26620002.0,146.0,Released,6.3,3448.0,Dane DeHaan
New Nightmare,Horror,en,24.534,New Line Cinema,1994-10-13,8000000.0,57000000.0,112.0,Released,6.4,1150.0,Heather Langenkamp
Jumper,Action,en,24.534,Dune Entertainment-Hypnotic-New Regency Pictures,2008-02-13,85000000.0,222231186.0,88.0,Released,6.1,5052.0,Hayden Christensen
The Machinist,Thriller,en,24.533,ICF-Castelao Productions-Canal+ España-Filmax-Paramount Vantage-MEDIA Programme of the European Union,2004-07-02,5000000.0,8203235.0,101.0,Released,7.5,5092.0,Christian Bale
State of Play,Thriller,en,24.527,Andell Entertainment-Universal Pictures-Working Title Films-StudioCanal-Relativity Media,2009-04-17,60000000.0,87812371.0,127.0,Released,6.786,1672.0,Russell Crowe
Pat Garrett & Billy the Kid,Western,en,24.52,Metro-Goldwyn-Mayer,1973-05-23,4638783.0,11000000.0,106.0,Released,7.2,388.0,James Coburn
Lawless,Crime,en,24.519,The Weinstein Company-Benaroya Pictures-Yucaipa Films-Annapurna Pictures-Pie Films Inc.-Red Wagon Entertainment-Revolt Films-Blum Hanson Allen Films,2012-08-29,26000000.0,53676580.0,115.0,Released,7.039,2740.0,Shia LaBeouf
Curious George,Adventure,en,24.485,Imagine Entertainment-Universal Pictures,2006-02-10,50000000.0,69834815.0,87.0,Released,6.352,430.0,Frank Welker
The Holiday,Comedy,en,24.467,Columbia Pictures-Universal Pictures-Waverly Films-Relativity Media,2006-12-08,85000000.0,194168700.0,136.0,Released,7.1,4395.0,Cameron Diaz
Sky High,Adventure,en,24.466,Walt Disney Pictures-Gunn Films-Max Stronghold Productions Inc.,2005-07-29,35000000.0,86369815.0,100.0,Released,6.2,2020.0,Michael Angarano
Parker,Action,en,24.452,Incentive Filmed Entertainment-Sierra/Affinity-Alexander/Mitchell Productions-Current Entertainment-Sidney Kimmel Entertainment-Anvil Films,2013-01-23,35000000.0,46216641.0,118.0,Released,6.018,2796.0,Jason Statham
Dennis the Menace,Family,en,24.448,Hughes Entertainment-Warner Bros. Family Entertainment,1993-06-23,35000000.0,117270765.0,94.0,Released,5.8,1281.0,Walter Matthau
Max,Adventure,en,24.442,Metro-Goldwyn-Mayer-Warner Bros. Pictures-Sunswept Entertainment-Reel Chefs Catering,2015-06-26,20000000.0,43967255.0,111.0,Released,7.1,674.0,Thomas Haden Church
Astérix at the Olympic Games,Fantasy,fr,24.441,TF1 Films Production-Constantin Film-Pathé Renn Productions-La Petite Reine-Tri Pictures-Sorolla Films-Novo RPI-uFilm-Canal+ España-Les Éditions Albert René-Canal+,2008-01-30,97250400.0,132900000.0,116.0,Released,5.187,1720.0,Clovis Cornillac
Hardcore Henry,Action,en,24.439,Bazelevs Production-Huayi Brothers Pictures-STX Entertainment-Versus Pictures,2015-09-12,2000000.0,14333790.0,96.0,Released,6.369,2056.0,Sharlto Copley
Amityville II: The Possession,Horror,en,24.435,Orion Pictures-Dino De Laurentiis Company-Media Transactions-Estudios Churubusco Azteca S.A.,1982-09-24,5000000.0,12534817.0,104.0,Released,5.721,289.0,James Olson
Mike and Dave Need Wedding Dates,Comedy,en,24.424,20th Century Fox-Chernin Entertainment-TSG Entertainment,2016-07-07,33000000.0,77068246.0,98.0,Released,6.1,2257.0,Zac Efron
West Side Story,Drama,en,24.412,20th Century Studios-Amblin Entertainment-TSG Entertainment,2021-12-08,100000000.0,74500000.0,156.0,Released,7.0,1396.0,Ansel Elgort
Reminiscence,Mystery,en,24.402,FilmNation Entertainment-Michael De Luca Productions-Kilter Films,2021-08-19,68000000.0,18717947.0,116.0,Released,6.7,1409.0,Hugh Jackman
21,Drama,en,24.4,Columbia Pictures-Relativity Media,2008-03-27,35000000.0,159808370.0,123.0,Released,6.7,4102.0,Jim Sturgess
Graveyard Shift,Horror,en,24.399,Paramount-JVC-Graveyard Productions,1990-10-26,10500000.0,11582891.0,89.0,Released,5.2,186.0,David Andrews
The Apartment,Comedy,en,24.367,The Mirisch Company,1960-06-21,3000000.0,25000000.0,125.0,Released,8.2,1885.0,Jack Lemmon
Moulin Rouge!,Drama,en,24.358,20th Century Fox-Bazmark Films,2001-05-24,52500000.0,179213434.0,128.0,Released,7.594,4053.0,Nicole Kidman
Wild Child,Comedy,en,24.358,Universal Pictures-Relativity Media-Working Title Films-StudioCanal,2008-08-15,20000000.0,21972336.0,98.0,Released,6.726,1752.0,Emma Roberts
Rage,Action,en,24.35,Vocal Yokels-Hannibal Pictures-Patriot Pictures,2014-05-09,15000000.0,2424381.0,98.0,Released,5.3,622.0,Nicolas Cage
Contraband,Thriller,en,24.348,Universal Pictures-StudioCanal-Relativity Media-Leverage-Closest to the Hole Productions-Farraday Films-Working Title Films-BlueEyes Productions,2012-01-12,25000000.0,96262212.0,109.0,Released,6.3,1852.0,Mark Wahlberg
Das Boot,Drama,de,24.335,Radiant Film GmbH-Süddeutscher Rundfunk-Bavaria Film-Twin Bros. Productions-Columbia Pictures-WDR-PSO,1981-09-17,14000000.0,85000000.0,150.0,Released,8.1,2017.0,Jürgen Prochnow
Black and Blue,Drama,en,24.334,Screen Gems-Royal Viking Entertainment-Hidden Empire Film Group,2019-10-25,12000000.0,22741061.0,109.0,Released,6.8,712.0,Naomie Harris
The World's End,Comedy,en,24.321,Big Talk Productions-Working Title Films,2013-07-18,20000000.0,46089287.0,109.0,Released,6.79,4752.0,Simon Pegg
Stillwater,Drama,en,24.32,DreamWorks Pictures-Participant-Anonymous Content-Amblin Partners-Slow Pony Pictures,2021-07-29,20000000.0,19754272.0,139.0,Released,6.7,850.0,Matt Damon
The Mule,Crime,en,24.305,Malpaso Productions-Warner Bros. Pictures-Bron Studios-Creative Wealth Media Finance-Imperative Entertainment,2018-12-14,50000000.0,174804407.0,116.0,Released,6.8,4381.0,Clint Eastwood
"Dude, Where's My Car?",Comedy,en,24.291,Alcon Entertainment-20th Century Fox,2000-12-15,13000000.0,73180723.0,83.0,Released,5.521,1594.0,Ashton Kutcher
Ken Park,Drama,en,24.288,Lou Yi-Cinéa-Kasander Film Company-Busy Bee Productions,2002-08-31,1300000.0,447741.0,97.0,Released,5.8,439.0,James Ransone
Star Wars: The Clone Wars,Animation,en,24.286,Lucasfilm-Lucasfilm Animation-Warner Bros. Pictures,2008-08-05,8500000.0,68282844.0,98.0,Released,6.1,1722.0,Matt Lanter
Flight of the Navigator,Family,en,24.284,New Star Entertainment-Walt Disney Pictures-Viking Film-PSO,1986-07-30,9000000.0,18564613.0,90.0,Released,6.917,699.0,Joey Cramer
Coyote Ugly,Comedy,en,24.255,Jerry Bruckheimer Films-Touchstone Pictures,2000-07-30,45000000.0,113916474.0,100.0,Released,6.228,1797.0,Piper Perabo
